rn_number,permit_number,publish_date,relative_file_location
RN106345341,168218,12-9-2022,data/MAERT/RN106345341_168218_12-9-2022_1711968940.pdf
RN104025556,70192,8-21-2006,data/MAERT/RN104025556_70192_8-21-2006_1713244353.pdf
RN102600129,41466,10-5-1999,data/MAERT/RN102600129_41466_10-5-1999_1711267042.pdf
RN101950996,47357,7-18-2011,data/MAERT/RN101950996_47357_7-18-2011_1712224480.pdf
RN100976117,18925,9-29-1992,data/MAERT/RN100976117_18925_9-29-1992_1712069426.pdf
RN101946713,55474,9-15-2020,data/MAERT/RN101946713_55474_9-15-2020_1712539650.pdf
RN100954346,24180,6-23-2006,data/MAERT/RN100954346_24180_6-23-2006_1712148907.pdf
RN100697796,22878,4-8-2004,data/MAERT/RN100697796_22878_4-8-2004_1713025976.pdf
RN104244942,2925,3-4-2013,data/MAERT/RN104244942_2925_3-4-2013_1711946975.pdf
RN100214576,20686,2-12-2019,data/MAERT/RN100214576_20686_2-12-2019_1711927944.pdf
RN100224799,9908,4-19-1993,data/MAERT/RN100224799_9908_4-19-1993_1713132991.pdf
RN100211663,5488,8-6-1998,data/MAERT/RN100211663_5488_8-6-1998_1712594648.pdf
RN102198421,32635,2-14-1997,data/MAERT/RN102198421_32635_2-14-1997_1713756698.pdf
RN100621002,20883,1-2-1998,data/MAERT/RN100621002_20883_1-2-1998_1711843250.pdf
RN102897014,4097,11-28-1995,data/MAERT/RN102897014_4097_11-28-1995_1711906142.pdf
RN102792751,51984L002,7-18-2003,data/MAERT/RN102792751_51984L002_7-18-2003_1712004222.pdf
RN100210517,9914,6-30-1994,data/MAERT/RN100210517_9914_6-30-1994_1712994862.pdf
RN111073623,162531,6-26-2023,data/MAERT/RN111073623_162531_6-26-2023_1711326922.pdf
RN100209931,2006A,12-14-2018,data/MAERT/RN100209931_2006A_12-14-2018_1714026807.pdf
RN100213305,8410,1-10-1996,data/MAERT/RN100213305_8410_1-10-1996_1711894276.pdf
RN102457520,3615,9-17-2004,data/MAERT/RN102457520_3615_9-17-2004_1712887466.pdf
RN104420757,73877,10-3-2017,data/MAERT/RN104420757_73877_10-3-2017_1711109450.pdf
RN110872496,162341,10-27-2020,data/MAERT/RN110872496_162341_10-27-2020_1713090077.pdf
RN100214568,33646,2-9-2010,data/MAERT/RN100214568_33646_2-9-2010_1713008219.pdf
RN106211683,99184L001,4-30-2012,data/MAERT/RN106211683_99184L001_4-30-2012_1711264878.pdf
RN100213958,19043,10-6-1994,data/MAERT/RN100213958_19043_10-6-1994_1712058390.pdf
RN105179519,31699,4-28-1997,data/MAERT/RN105179519_31699_4-28-1997_1712923163.pdf
RN101232106,73426,3-10-2005,data/MAERT/RN101232106_73426_3-10-2005_1713195545.pdf
RN100219252,16909,3-8-2000,data/MAERT/RN100219252_16909_3-8-2000_1713133308.pdf
RN102323268,76070,8-6-2021,data/MAERT/RN102323268_76070_8-6-2021_1713501688.pdf
RN100798222,18865H,3-4-1999,data/MAERT/RN100798222_18865H_3-4-1999_1713985867.pdf
RN100214279,73374,5-16-2005,data/MAERT/RN100214279_73374_5-16-2005_1713189273.pdf
RN100683531,37222,11-9-2020,data/MAERT/RN100683531_37222_11-9-2020_1712458790.pdf
RN100654813,3533,2-28-1994,data/MAERT/RN100654813_3533_2-28-1994_1711284799.pdf
RN100222041,37283,12-10-2001,data/MAERT/RN100222041_37283_12-10-2001_1712431755.pdf
RN107816928,124775,8-24-2021,data/MAERT/RN107816928_124775_8-24-2021_1712887866.pdf
RN100827617,19518,4-19-1996,data/MAERT/RN100827617_19518_4-19-1996_1711824282.pdf
RN104411962,73419,1-10-2005,data/MAERT/RN104411962_73419_1-10-2005_1714015459.pdf
